-22.38528045743841	-26.072880165564527
-24.9222473638162	-28.60985040411019
-27.459214270193968	-30.723992269564903
-29.573353358842127	-30.723992269564903
-32.955975900679164	-31.14682064265585
-35.492942807056934	-31.56964901574679
-40.14404880208287	-33.68379088120152
-40.5668766198125	-37.06641786592907
-35.492942807056934	-39.1805597313838
-33.37880371840879	-43.408843462293234
-30.41900899430138	-46.36864207392984
-27.036386452464345	-45.52298532774795
-23.23093609289768	-45.52298532774795
-20.271141368790268	-45.52298532774795
-18.57983009787175	-47.63712719320267
-17.311346644682857	-49.75126905865739
